itype,inclination_degrees,eccentricity_std,period_minutes_std,name_of_satellite_alternate_names,country_org_of_un_registry,country_of_operator_owner,operator_owner,users,purpose,detailed_purpose,class_of_orbit,type_of_orbit,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_yrs,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number,comments
High,97.4,-0.14610908747549395,-0.598865726154959,3Cat-1,NR (11/18),Spain,Universitat Politècnica de Catalunya,Civil,Technology Development,NA,LEO,NA,0,476,500,0.0017497812773403325,95,4,NA,NA,2018-11-29T00:00:00Z,NA,Universitat Politècnica de Catalunya,Spain,Satish Dhawan Space Centre,PSLV,2018-096K,43728,Student built.
High,97.45,-0.14907398631765487,-0.5992769560661642,Aalto-1,Finland,Finland,University of Aalto,Civil,Technology Development,NA,LEO,NA,0,497,517,0.0014541224371092047,94.7,4.5,NA,4.5,2017-06-23T00:00:00Z,2,University of Aalto,Finland,Satish Dhawan Space Centre,PSLV,2017-036L,42775,Technology development and education.
High,98.2,0.013493423400292276,-0.5976320364213438,AAUSat-4,Denmark,Denmark,University of Aalborg,Civil,Earth Observation,Automatic Identification System (AIS),LEO,Sun-Synchronous,0,442,687,0.01766529670488139,95.9,1,NA,NA,2016-04-25T00:00:00Z,NA,University of Aalborg,Denmark,Guiana Space Center,Soyuz 2.1a,2016-025E,41460,Carries AIS system.
Low,0.08,-0.16187195537652171,1.2393730999229986,"ABS-2 (Koreasat-8, ST-3)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,75,35778,35793,1.7791272787655228e-4,1436.03,6330,NA,16000,2014-02-06T00:00:00Z,15,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,2014-006A,39508,"32 C-band, 51 Ku-band, and 6 Ka-band transponders. $214 million lawsuit for bad beam."
Low,0,-0.1636560834630505,1.2394690535689465,ABS-2A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,-75,35700,35700,0,1436.1,1800,NA,NA,2016-06-15T00:00:00Z,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2016-038A,41588,NA
Low,0.1,-0.16187237850160893,1.2393319769318782,ABS-3A,NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,-3,35788,35803,1.7787053396734297e-4,1436,2000,NA,NA,2015-03-02T00:00:00Z,15,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9,2015-010A,40424,Coverage of Americas Europe and Africa.
Low,0.01,-0.16210987580006198,1.2394690535689465,"ABS-4 (ABS-2i, MBSat, Mobile Broadcasting Satellite, Han Byul)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,75,35780,35793,1.5418737324018834e-4,1436.1,4143,1700,7400,2004-03-13T00:00:00Z,12,Space Systems/Loral,USA,Cape Canaveral,Atlas 3,2004-007A,28184,Purchased by ABS in 2013.
Low,0.01,-0.1616340716316512,1.2394416382415328,"ABS-6 (ABS-1, LMI-1, Lockheed Martin-Intersputnik-1)",NR,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,159,35777,35794,2.0163442492675927e-4,1436.08,2894,1730,"6,800 (EOL)",1999-09-26T00:00:00Z,15,Lockheed Martin,USA,Baikonur Cosmodrome,Proton,1999-053A,25924,"28 C-band, 16 Ku-band; business services, public voice and data services, broadcasting, direct-to-home; Eastern Europe, CIS, South and Southeast Asia, Africa, Middle East, Australia."
Low,0.01,-0.1623477228662627,1.2394142229141192,"ABS-7 (Koreasat 3, Mugungwha 3)",South Korea,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,NA,GEO,NA,116.18,35780,35791,1.3046933377613835e-4,1436.06,3500,1800,4800,1999-09-04T00:00:00Z,15,Lockheed Martin Astro Space,USA,Guiana Space Center,Ariane,1999-046A,25894,"30 Ku-band, 6 Ka-band; Korean peninsula, the Japanese archipelago, and parts of China and Russia."
Low,7.72,-0.10977669336045037,1.2395238842237741,"Advanced Orion 2 (Mentor, NROL 6, USA 139)",USA,USA,National Reconnaissance Office (NRO),Military,Earth Observation,Electronic Intelligence,GEO,NA,-26,35560,36013,0.005372836929061948,1436.14,4500,NA,NA,1998-05-09T00:00:00Z,NA,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA,1998-029A,25336,ELINT.
